inchhpc_std;age_std;educ_std;white;male;ideo_std;ptyid7;ptyid;educ_cat;gender;age;inc;race;treat;cue;cueg;y;popmin;popmul;popadd;ppl1n;ppl2n;ppl3n;man1n;man2n;man3n;ant1n;ant2n;ant3n
0.703358584032675;-0.2093941503275027;1.507727495002589;1;1;0.2589081559943698;-3;Democrat;Complete Master, Doctoral, or terminal professional degree (e.g., MA, Ph.D., JD, MD);Male;40 to 44;150000 - 199999;White;Control (Populist Message);Populist Message;Control;1;-0.6013624464852131;0.2664276227637502;-0.023642524447793134;2;2;1;1;1;1;1;2;2
0.16252462536835544;-0.5047468313794338;0.19745872777191265;1;0;-0.07448914979838016;1;Independent;Associate degree (2-year);Female;35 to 39;50000 - 74999;White;Biden (Populist Message);Populist Message;Biden;1;0.32245091779196194;0.4667129963619159;3.3895891551465254;2;-2;2;0;0;0;2;-1;2
-1.0453185927636615;-0.8000995124313649;-1.1128100394587637;1;0;-0.07448914979838016;-2;Democrat;Complete high school (or equivalent, including GED);Female;30 to 34;15000 - 24999;White;Biden (Populist Message);Populist Message;Biden;1;-1.6366595817230107;0.12975936577839955;-1.5861087688596824;2;-2;1;-1;1;0;-1;1;1
-0.28816222775698846;0.38131121177635957;-1.1128100394587637;1;0;;1;Independent;Complete high school (or equivalent, including GED);Female;50 to 54;50000 - 74999;White;Control (Populist Message);Populist Message;Control;0;-2.2573831106087865;0.11893192338278923;-3.1175426428248816;0;0;0;0;0;0;0;0;0
-0.7568839102756314;0.9720165738802219;-1.1128100394587637;1;0;-0.07448914979838016;1;Independent;Complete high school (or equivalent, including GED);Female;60 to 64;15000 - 24999;White;Control (Populist Message);Populist Message;Control;1;0.3215402667493915;0.3806020144179258;2.1787202731210207;2;-1;2;0;1;1;2;1;2
-0.7568803047519622;0.9720165738802219;0.19745872777191265;1;1;0.9257027675798697;3;Republican;Associate degree (2-year);Male;60 to 64;25000 - 34999;White;Control (Anti-populist Message);Anti-populist Message;Control;0;-2.2573831106087865;0.11893192338278923;-3.1175426428248816;0;0;0;0;0;0;0;0;0
0.16253003365385923;0.08595853072442845;1.507727495002589;1;1;1.5924973791653694;-3;Democrat;Complete Master, Doctoral, or terminal professional degree (e.g., MA, Ph.D., JD, MD);Male;45 to 49;100000 - 149999;White;Biden (Populist Message);Populist Message;Biden;1;-4.447855099183747;0.0;-3.0273793696973854;2;2;2;2;2;2;-2;2;-2
0.16252462536835544;1.562721935984084;-0.4576756558434255;1;1;1.5924973791653694;3;Republican;Some college but didn't complete;Male;70 to 74;50000 - 74999;White;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.742116773912212;0.092725700196736;-1.1092780809017104;2;-2;2;-2;2;0;-2;-1;2
-0.9011012515196464;-0.8000995124313649;-1.1128100394587637;1;0;;-2;Democrat;Complete high school (or equivalent, including GED);Female;30 to 34;15000 - 24999;White;Trump (Populist Message);Populist Message;Trump;0;-1.440368755734736;0.20430396889213787;-1.1900779810464388;1;2;1;1;0;0;0;0;1
0.10843095375946629;0.08595853072442845;-0.4576756558434255;1;0;-0.07448914979838016;0;Independent;Some college but didn't complete;Female;45 to 49;25000 - 34999;White;Control (Populist Message);Populist Message;Control;0;-1.7588133482114305;0.11281858816910273;-2.877201859696159;1;1;0;0;1;-1;1;1;1
-1.0813702239319132;0.9720165738802219;-1.1128100394587637;1;0;;0;Independent;Complete high school (or equivalent, including GED);Female;60 to 64;0 - 10000;White;Control (Populist Message);Populist Message;Control;0;-2.2573831106087865;0.14039585514532252;-2.5282560463884356;0;0;0;0;0;0;0;0;1
-1.1174254606238343;0.38131121177635957;-1.1128100394587637;1;1;-0.07448914979838016;-3;Democrat;Complete high school (or equivalent, including GED);Male;50 to 54;0 - 10000;White;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-1.742116773912212;0.12218837473677126;-0.14726656958643258;2;-2;0;-2;2;0;2;-2;1
-0.540552490124105;-1.0954521934832961;-0.4576756558434255;0;0;1.2591000733726196;-2;Democrat;Some college but didn't complete;Female;25 to 29;25000 - 34999;Black or African-American;Control (Populist Message);Populist Message;Control;1;-2.815232774595902;0.04184972187203041;-4.933090271584033;2;-1;-1;-1;1;-1;-1;1;-1
-0.540552490124105;0.08595853072442845;0.19745872777191265;1;0;1.5924973791653694;3;Republican;Associate degree (2-year);Female;45 to 49;25000 - 34999;White;Trump (Populist Message);Populist Message;Trump;1;0.3435908309060976;0.6624692203394129;4.489420195633355;2;0;2;2;-2;2;2;2;2
